ACYPI	Acyrthosiphon_pisum
AEDAE	Aedes_aegypti
ANOGA	Anopheles_gambiae
APIME	Apis_mellifera
ARATH	Arabidopsis_thaliana
ASPFU	Aspergillus_fumigatus
BATDE	Batrachochytrium_dendrobatidis
BOMMO	Bombyx_mori
BOSTA	Bos_taurus
BRAFL	Branchiostoma_floridae
BRUMA	Brugia_malayi
CAEBRE	Caenorhabditis_brenneri
CAEBR	Caenorhabditis_briggsae
CAEEL	Caenorhabditis_elegans
CAEJA	Caenorhabditis_japonica
CAERE	Caenorhabditis_remanei
CANAL	Candida_albicans
CANGL	Candida_glabrata
CANFA	Canis_familiaris
CAPSP	Capitella_spI
CAVPO	Cavia_porcellus
CHLRE	Chlamydomonas_reinhardtii
CIOIN	Ciona_intestinalis
CIOSA	Ciona_savignyi
COCIM	Coccidioides_immitis
COPCI	Coprinopsis_cinereus
CRYNE	Cryptococcus_neoformans
CRYHO	Cryptosporidium_hominis
CRYPA	Cryptosporidium_parvum
CULPI	Culex_pipiens
CYAME	Cyanidioschyzon_merolae
DANRE	Danio_rerio
DAPPU	Daphnia_pulex
DEBHA	Debaryomyces_hansenii
DICDI	Dictyostelium_discoideum
DROAN	Drosophila_ananassae
DROGR	Drosophila_grimshawi
DROME	Drosophila_melanogaster
DROMO	Drosophila_mojavensis
DROPS	Drosophila_pseudoobscura
DROVI	Drosophila_virilis
DROWI	Drosophila_willistoni
ENTHI	Entamoeba_histolytica
EQUCA	Equus_caballus
ESCCO	Escherichia_coliK12
FUSGR	Fusarium_graminearum
GALGA	Gallus_gallus
GASAC	Gasterosteus_aculeatus
GIALA	Giardia_lamblia
HELRO	Helobdella_robusta
HOMSA	Homo_sapiens
IXOSC	Ixodes_scapularis
KLULA	Kluyveromyces_lactis
LEIMA	Leishmania_major
LOTGI	Lottia_gigantea
MACMU	Macaca_mulatta
MAGGR	Magnaporthe_grisea
MONDO	Monodelphis_domestica
MONBR	Monosiga_brevicollis
MUSMU	Mus_musculus
NASVI	Nasonia_vitripennis
NEMVE	Nematostella_vectensis
NEUCR	Neurospora_crassa
ORNAN	Ornithorhynchus_anatinus
ORYSA	Oryza_sativa
ORYLA	Oryzias_latipes
OSTTA	Ostreococcus_tauri
PANTR	Pan_troglodytes
PEDPA	Pediculus_humanus
PHYPA	Physcomitrella_patens
PHYRA	Phytophthora_ramorum
PHYSO	Phytophthora_sojae
PLAFA	Plasmodium_falciparum
PLAVI	Plasmodium_vivax
PONPY	Pongo_pygmaeus
POPTR	Populus_trichocarpa
PRIPA	Pristionchus_pacificus
PUCGR	Puccinia_graminis
RATNO	Rattus_norvegicus
RHIOR	Rhizopus_oryzae
SACCE	Saccharomyces_cerevisiae
SCHMA	Schistosoma_mansoni
SCHPO	Schizosaccharomyces_pombe
SCLSC	Sclerotinia_sclerotiorum
SORBI	Sorghum_bicolor
STANO	Stagonospora_nodorum
STRPU	Strongylocentrotus_purpuratus
TAKRU	Takifugu_rubripes
TETTH	Tetrahymena_thermophila
TETNI	Tetraodon_nigroviridis
THAPS	Thalassiosira_pseudonana
THEAN	Theileria_annulata
THEPA	Theileria_parva
TRICA	Tribolium_castaneum
TRIVA	Trichomonas_vaginalis
TRIAD	Trichoplax_adhaerens
TRYCR	Trypanosoma_cruzi
USTMA	Ustilago_maydis
XENTR	Xenopus_tropicalis
YARLI	Yarrowia_lipolytica
