Acyrthosiphon pisum
Aedes aegypti
Anopheles gambiae
Apis mellifera
Arabidopsis thaliana
Aspergillus fumigatus
Batrachochytrium dendrobatidis
Bombyx mori
Bos taurus
Branchiostoma floridae
Brugia malayi
Caenorhabditis brenneri
Caenorhabditis briggsae
Caenorhabditis elegans
Caenorhabditis japonica
Caenorhabditis remanei
Candida albicans
Candida glabrata
Canis familiaris
Capitella spI
Cavia porcellus
Chlamydomonas reinhardtii
Ciona intestinalis
Ciona savignyi
Coccidioides immitis
Coprinopsis cinereus
Cryptococcus neoformans
Cryptosporidium hominis
Cryptosporidium parvum
Culex pipiens
Cyanidioschyzon merolae
Danio rerio
Daphnia pulex
Debaryomyces hansenii
Dictyostelium discoideum
Drosophila ananassae
Drosophila grimshawi
Drosophila melanogaster
Drosophila mojavensis
Drosophila pseudoobscura
Drosophila virilis
Drosophila willistoni
Entamoeba histolytica
Equus caballus
Escherichia coliK12
Fusarium graminearum
Gallus gallus
Gasterosteus aculeatus
Giardia lamblia
Helobdella robusta
Homo sapiens
Ixodes scapularis
Kluyveromyces lactis
Leishmania major
Lottia gigantea
Macaca mulatta
Magnaporthe grisea
Monodelphis domestica
Monosiga brevicollis
Mus musculus
Nasonia vitripennis
Nematostella vectensis
Neurospora crassa
Ornithorhynchus anatinus
Oryza sativa
Oryzias latipes
Ostreococcus tauri
Pan troglodytes
Pediculus humanus
Physcomitrella patens
Phytophthora ramorum
Phytophthora sojae
Plasmodium falciparum
Plasmodium vivax
Pongo pygmaeus
Populus trichocarpa
Pristionchus pacificus
Puccinia graminis
Rattus norvegicus
Rhizopus oryzae
Saccharomyces cerevisiae
Schistosoma mansoni
Schizosaccharomyces pombe
Sclerotinia sclerotiorum
Sorghum bicolor
Stagonospora nodorum
Strongylocentrotus purpuratus
Takifugu rubripes
Tetrahymena thermophila
Tetraodon nigroviridis
Thalassiosira pseudonana
Theileria annulata
Theileria parva
Tribolium castaneum
Trichomonas vaginalis
Trichoplax adhaerens
Trypanosoma cruzi
Ustilago maydis
Xenopus tropicalis
Yarrowia lipolytica
