AEDAE	aedes_aegypti
ANOGA	anopheles_gambiae
APIME	apis_mellifera
ARATH	arabidopsis_thaliana
BOSTA	bos_taurus
CAEBR	caenorhabditis_briggsae
CAEEL	caenorhabditis_elegans
CAERE	caenorhabditis_remanei
CANGL	candida_glabrata
CANFA	canis_familiaris
CIOIN	ciona_intestinalis
CRYNE	cryptococcus_neoformans
DANRE	danio_rerio
DEBHA	debaryomyces_hanseneii
DICDI	dictyostelium_discoideum
DROME	drosophila_melanogaster
DROPS	drosophila_pseudoobscura
ENTHI	entamoeba_histolytica
ESCCO	escherichia_coliK12
GALGA	gallus_gallus
GASAC	gasterosteus_aculeatus
HOMSA	homo_sapiens
KLULA	kluyveromyces_lactis
MACMU	macaca_mulatta
MONDO	monodelphis_domestica
MUSMU	mus_musculus
ORYSA	oryza_sativa
PANTR	pan_troglodytes
RATNO	rattus_norvegicus
SACCE	saccharomyces_cerevisiae
SCHPO	schizosaccharomyces_pombe
FUGRU	takifugu_rubripes
TETNI	tetraodon_nigroviridis
XENTR	xenopus_tropicalis
YARLI	yarrowia_lipolytica
